Designator,Mid X,Mid Y,Rotation,Layer
FID3,230.000mm,-26.000mm,0,Top
U5,149.800mm,-24.000mm,0,Top
H3,173.825mm,-59.525mm,0,Top
R4,223.000mm,-31.000mm,90,Top
R14,58.000mm,-34.500mm,0,Top
R15,62.000mm,-34.500mm,0,Top
C1,211.000mm,-35.500mm,0,Top
R7,142.000mm,-29.000mm,0,Top
R6,142.000mm,-26.000mm,0,Top
H4,173.825mm,-116.675mm,0,Top
Q1,137.000mm,-31.000mm,0,Top
J1,262.000mm,-25.600mm,180,Top
R5,110.500mm,-29.500mm,0,Top
C12,188.000mm,-24.500mm,0,Top
C15,152.700mm,-23.000mm,0,Top
C8,145.500mm,-27.000mm,0,Top
H5,230.975mm,-59.525mm,0,Top
U1,154.750mm,-31.000mm,0,Top
C19,184.000mm,-31.000mm,0,Top
U7,176.000mm,-31.000mm,0,Top
SW62,105.000mm,-23.900mm,0,Top
C32,164.000mm,-24.500mm,0,Top
C14,166.500mm,-26.500mm,0,Top
C5,142.000mm,-32.000mm,0,Top
C7,145.500mm,-24.000mm,0,Top
C2,220.500mm,-35.500mm,0,Top
C34,172.000mm,-24.500mm,0,Top
R2,258.800mm,-36.200mm,90,Top
R3,216.000mm,-35.500mm,0,Top
H1,78.575mm,-59.525mm,0,Top
H6,230.975mm,-116.675mm,0,Top
Y1,164.000mm,-30.000mm,0,Top
R10,180.000mm,-31.000mm,0,Top
C10,176.000mm,-24.500mm,0,Top
H2,78.575mm,-116.675mm,0,Top
C9,160.000mm,-24.500mm,0,Top
R9,184.000mm,-24.500mm,0,Top
U4,250.000mm,-31.000mm,0,Top
FID2,267.000mm,-135.500mm,0,Top
C13,161.500mm,-26.500mm,0,Top
R1,255.800mm,-34.200mm,90,Top
C3,117.000mm,-36.000mm,0,Top
R11,184.000mm,-27.500mm,0,Top
U2,216.000mm,-31.000mm,0,Top
C33,168.000mm,-33.000mm,0,Top
U3,122.000mm,-33.500mm,0,Top
C4,127.000mm,-36.000mm,0,Top
FID1,42.000mm,-135.500mm,0,Top
LED1,223.000mm,-27.000mm,-90,Top
C11,180.000mm,-24.500mm,0,Top
C114,219.650mm,-66.025mm,0,Bottom
C133,219.650mm,-85.075mm,0,Bottom
RGB55,183.350mm,-120.175mm,180,Bottom
RGB8,183.350mm,-43.975mm,180,Bottom
C116,181.550mm,-66.025mm,0,Bottom
SW45,202.400mm,-107.150mm,0,Bottom
D19,155.800mm,-70.050mm,-90,Bottom
C112,257.750mm,-66.025mm,0,Bottom
SW25,50.000mm,-88.100mm,0,Bottom
SW29,126.200mm,-88.100mm,0,Bottom
SW52,107.150mm,-126.200mm,0,Bottom
D55,174.850mm,-127.200mm,-90,Bottom
C138,219.650mm,-104.125mm,0,Bottom
SW56,202.400mm,-126.200mm,0,Bottom
D45,193.900mm,-108.150mm,-90,Bottom
SW23,240.500mm,-69.050mm,0,Bottom
D54,146.275mm,-127.200mm,-90,Bottom
SW47,240.500mm,-107.150mm,0,Bottom
RGB27,88.100mm,-82.075mm,180,Bottom
RGB1,50.000mm,-43.975mm,180,Bottom
RGB34,221.450mm,-82.075mm,180,Bottom
SW3,88.100mm,-50.000mm,0,Bottom
J2,128.000mm,-27.500mm,0,Bottom
C141,162.500mm,-104.125mm,0,Bottom
C135,257.750mm,-85.075mm,0,Bottom
C146,67.250mm,-104.125mm,0,Bottom
D44,174.850mm,-108.150mm,-90,Bottom
C148,48.200mm,-123.175mm,0,Bottom
C131,181.550mm,-85.075mm,0,Bottom
RGB42,164.300mm,-101.125mm,180,Bottom
FID6,230.000mm,-26.000mm,0,Bottom
C130,162.500mm,-85.075mm,0,Bottom
SW1,50.000mm,-50.000mm,0,Bottom
RGB43,145.250mm,-101.125mm,180,Bottom
SW32,183.350mm,-88.100mm,0,Bottom
D7,155.800mm,-51.000mm,-90,Bottom
C145,86.300mm,-104.125mm,0,Bottom
SW6,145.250mm,-50.000mm,0,Bottom
RGB7,164.300mm,-43.975mm,180,Bottom
SW4,107.150mm,-50.000mm,0,Bottom
D12,251.050mm,-51.000mm,-90,Bottom
D24,251.050mm,-70.050mm,-90,Bottom
D29,117.700mm,-89.100mm,-90,Bottom
RGB11,240.500mm,-43.975mm,180,Bottom
C125,67.250mm,-85.075mm,0,Bottom
D48,251.050mm,-108.150mm,-90,Bottom
C152,124.400mm,-123.175mm,0,Bottom
SW50,69.050mm,-126.200mm,0,Bottom
FID4,42.000mm,-135.500mm,0,Bottom
D5,117.700mm,-51.000mm,-90,Bottom
SW14,69.050mm,-69.050mm,0,Bottom
RGB54,145.250mm,-120.175mm,180,Bottom
SW17,126.200mm,-69.050mm,0,Bottom
C157,238.700mm,-123.175mm,0,Bottom
D53,117.700mm,-127.200mm,-90,Bottom
SW22,221.450mm,-69.050mm,0,Bottom
SW43,164.300mm,-107.150mm,0,Bottom
SW34,221.450mm,-88.100mm,0,Bottom
SW16,107.150mm,-69.050mm,0,Bottom
SW5,126.200mm,-50.000mm,0,Bottom
D56,193.900mm,-127.200mm,-90,Bottom
SW48,259.550mm,-107.150mm,0,Bottom
C121,86.300mm,-66.025mm,0,Bottom
D51,79.600mm,-127.200mm,-90,Bottom
RGB16,202.400mm,-63.025mm,180,Bottom
SW27,88.100mm,-88.100mm,0,Bottom
RGB59,259.550mm,-120.175mm,180,Bottom
SW26,69.050mm,-88.100mm,0,Bottom
SW59,259.550mm,-126.200mm,0,Bottom
FID5,267.000mm,-135.500mm,0,Bottom
C122,67.250mm,-66.025mm,0,Bottom
RGB26,69.050mm,-82.075mm,180,Bottom
C124,48.200mm,-85.075mm,0,Bottom
C103,105.350mm,-46.975mm,0,Bottom
D41,117.700mm,-108.150mm,-90,Bottom
SW41,126.200mm,-107.150mm,0,Bottom
RGB30,145.250mm,-82.075mm,180,Bottom
D47,232.000mm,-108.150mm,-90,Bottom
RGB12,259.550mm,-43.975mm,180,Bottom
C153,143.450mm,-123.175mm,0,Bottom
D52,98.650mm,-127.200mm,-90,Bottom
RGB47,69.050mm,-101.125mm,180,Bottom
RGB44,126.200mm,-101.125mm,180,Bottom
SW46,221.450mm,-107.150mm,0,Bottom
SW57,221.450mm,-126.200mm,0,Bottom
SW42,145.250mm,-107.150mm,0,Bottom
C120,105.350mm,-66.025mm,0,Bottom
RGB21,107.150mm,-63.025mm,180,Bottom
D9,193.900mm,-51.000mm,-90,Bottom
SW12,259.550mm,-50.000mm,0,Bottom
C150,86.300mm,-123.175mm,0,Bottom
D25,41.500mm,-89.100mm,-90,Bottom
SW38,69.050mm,-107.150mm,0,Bottom
RGB37,259.550mm,-101.125mm,180,Bottom
C154,181.550mm,-123.175mm,0,Bottom
D33,193.900mm,-89.100mm,-90,Bottom
RGB29,126.200mm,-82.075mm,180,Bottom
D3,79.600mm,-51.000mm,-90,Bottom
RGB48,50.000mm,-101.125mm,180,Bottom
C105,143.450mm,-46.975mm,0,Bottom
C151,105.350mm,-123.175mm,0,Bottom
C107,181.550mm,-46.975mm,0,Bottom
SW58,240.500mm,-126.200mm,0,Bottom
C128,124.400mm,-85.075mm,0,Bottom
SW35,240.500mm,-88.100mm,0,Bottom
SW19,164.300mm,-69.050mm,0,Bottom
C132,200.600mm,-85.075mm,0,Bottom
D50,60.550mm,-127.200mm,-90,Bottom
C100,48.200mm,-46.975mm,0,Bottom
C101,67.250mm,-46.975mm,0,Bottom
SW24,259.550mm,-69.050mm,0,Bottom
RGB10,221.450mm,-43.975mm,180,Bottom
RGB45,107.150mm,-101.125mm,180,Bottom
SW51,88.100mm,-126.200mm,0,Bottom
SW31,164.300mm,-88.100mm,0,Bottom
RGB51,88.100mm,-120.175mm,180,Bottom
C156,219.650mm,-123.175mm,0,Bottom
D28,98.650mm,-89.100mm,-90,Bottom
C106,162.500mm,-46.975mm,0,Bottom
D27,79.600mm,-89.100mm,-90,Bottom
C144,105.350mm,-104.125mm,0,Bottom
C134,238.700mm,-85.075mm,0,Bottom
D2,60.550mm,-51.000mm,-90,Bottom
C104,124.400mm,-46.975mm,0,Bottom
SW53,126.200mm,-126.200mm,0,Bottom
C117,162.500mm,-66.025mm,0,Bottom
RGB53,126.200mm,-120.175mm,180,Bottom
SW54,154.775mm,-126.200mm,0,Bottom
SW33,202.400mm,-88.100mm,0,Bottom
D1,41.500mm,-51.000mm,-90,Bottom
RGB18,164.300mm,-63.025mm,180,Bottom
SW37,50.000mm,-107.150mm,0,Bottom
RGB32,183.350mm,-82.075mm,180,Bottom
SW55,183.350mm,-126.200mm,0,Bottom
SW2,69.050mm,-50.000mm,0,Bottom
C149,67.250mm,-123.175mm,0,Bottom
C136,257.750mm,-104.125mm,0,Bottom
D60,137.000mm,-35.500mm,0,Bottom
RGB56,202.400mm,-120.175mm,180,Bottom
RGB5,126.200mm,-43.975mm,180,Bottom
SW15,88.100mm,-69.050mm,0,Bottom
D39,79.600mm,-108.150mm,-90,Bottom
RGB46,88.100mm,-101.125mm,180,Bottom
SW10,221.450mm,-50.000mm,0,Bottom
C139,200.600mm,-104.125mm,0,Bottom
D21,193.900mm,-70.050mm,-90,Bottom
D17,117.700mm,-70.050mm,-90,Bottom
D16,98.650mm,-70.050mm,-90,Bottom
SW30,145.250mm,-88.100mm,0,Bottom
RGB13,259.550mm,-63.025mm,180,Bottom
RGB15,221.450mm,-63.025mm,180,Bottom
SW13,50.000mm,-69.050mm,0,Bottom
C140,181.550mm,-104.125mm,0,Bottom
D6,136.750mm,-51.000mm,-90,Bottom
D43,155.800mm,-108.150mm,-90,Bottom
RGB38,240.500mm,-101.125mm,180,Bottom
SW36,259.550mm,-88.100mm,0,Bottom
D57,212.950mm,-127.200mm,-90,Bottom
SW8,183.350mm,-50.000mm,0,Bottom
C123,48.200mm,-66.025mm,0,Bottom
D18,136.750mm,-70.050mm,-90,Bottom
RGB6,145.250mm,-43.975mm,180,Bottom
D35,232.000mm,-89.100mm,-90,Bottom
SW9,202.400mm,-50.000mm,0,Bottom
SW7,164.300mm,-50.000mm,0,Bottom
RGB33,202.400mm,-82.075mm,180,Bottom
C102,86.300mm,-46.975mm,0,Bottom
D4,98.650mm,-51.000mm,-90,Bottom
C147,48.200mm,-104.125mm,0,Bottom
C119,124.400mm,-66.025mm,0,Bottom
D30,136.750mm,-89.100mm,-90,Bottom
RGB36,259.550mm,-82.075mm,180,Bottom
RGB39,221.450mm,-101.125mm,180,Bottom
D34,212.950mm,-89.100mm,-90,Bottom
RGB50,69.050mm,-120.175mm,180,Bottom
RGB49,50.000mm,-120.175mm,180,Bottom
RGB57,221.450mm,-120.175mm,180,Bottom
D14,60.550mm,-70.050mm,-90,Bottom
D11,232.000mm,-51.000mm,-90,Bottom
RGB35,240.500mm,-82.075mm,180,Bottom
D15,79.600mm,-70.050mm,-90,Bottom
C118,143.450mm,-66.025mm,0,Bottom
SW18,145.250mm,-69.050mm,0,Bottom
RGB23,69.050mm,-63.025mm,180,Bottom
D23,232.000mm,-70.050mm,-90,Bottom
RGB52,107.150mm,-120.175mm,180,Bottom
D10,212.950mm,-51.000mm,-90,Bottom
RGB24,50.000mm,-63.025mm,180,Bottom
C111,257.750mm,-46.975mm,0,Bottom
RGB19,145.250mm,-63.025mm,180,Bottom
D36,251.050mm,-89.100mm,-90,Bottom
RGB22,88.100mm,-63.025mm,180,Bottom
C143,124.400mm,-104.125mm,0,Bottom
D59,251.050mm,-127.200mm,-90,Bottom
RGB9,202.400mm,-43.975mm,180,Bottom
RGB41,183.350mm,-101.125mm,180,Bottom
SW44,183.350mm,-107.150mm,0,Bottom
D49,41.500mm,-127.200mm,-90,Bottom
C155,200.600mm,-123.175mm,0,Bottom
SW49,50.000mm,-126.200mm,0,Bottom
C137,238.700mm,-104.125mm,0,Bottom
RGB25,50.000mm,-82.075mm,180,Bottom
D46,212.950mm,-108.150mm,-90,Bottom
C127,105.350mm,-85.075mm,0,Bottom
RGB14,240.500mm,-63.025mm,180,Bottom
D8,174.850mm,-51.000mm,-90,Bottom
C113,238.700mm,-66.025mm,0,Bottom
SW28,107.150mm,-88.100mm,0,Bottom
RGB40,202.400mm,-101.125mm,180,Bottom
D26,60.550mm,-89.100mm,-90,Bottom
RGB58,240.500mm,-120.175mm,180,Bottom
D22,212.950mm,-70.050mm,-90,Bottom
RGB4,107.150mm,-43.975mm,180,Bottom
C142,143.450mm,-104.125mm,0,Bottom
D38,60.550mm,-108.150mm,-90,Bottom
SW20,183.350mm,-69.050mm,0,Bottom
C115,200.600mm,-66.025mm,0,Bottom
D31,155.800mm,-89.100mm,-90,Bottom
SW21,202.400mm,-69.050mm,0,Bottom
D20,174.850mm,-70.050mm,-90,Bottom
RGB20,126.200mm,-63.025mm,180,Bottom
D32,174.850mm,-89.100mm,-90,Bottom
RGB3,88.100mm,-43.975mm,180,Bottom
D40,98.650mm,-108.150mm,-90,Bottom
D58,232.000mm,-127.200mm,-90,Bottom
SW39,88.100mm,-107.150mm,0,Bottom
D37,41.500mm,-108.150mm,-90,Bottom
C158,257.750mm,-123.175mm,0,Bottom
RGB28,107.150mm,-82.075mm,180,Bottom
SW11,240.500mm,-50.000mm,0,Bottom
SW40,107.150mm,-107.150mm,0,Bottom
D13,41.500mm,-70.050mm,-90,Bottom
C110,238.700mm,-46.975mm,0,Bottom
