Designator,Mid X,Mid Y,Rotation,Layer
C1,211.0,-35.5,0.0,top
C10,176.0,-24.5,0.0,top
C100,48.2,-46.975,180.0,bottom
C101,67.25,-46.975,180.0,bottom
C102,86.3,-46.975,180.0,bottom
C103,105.35,-46.975,180.0,bottom
C104,124.4,-46.975,180.0,bottom
C105,143.45,-46.975,180.0,bottom
C106,162.5,-46.975,180.0,bottom
C107,181.55,-46.975,180.0,bottom
C108,200.6,-46.975,180.0,bottom
C109,219.65,-46.975,180.0,bottom
C11,180.0,-24.5,0.0,top
C110,238.7,-46.975,180.0,bottom
C111,257.75,-46.975,180.0,bottom
C112,257.75,-66.025,180.0,bottom
C113,238.7,-66.025,180.0,bottom
C114,219.65,-66.025,180.0,bottom
C115,200.6,-66.025,180.0,bottom
C116,181.55,-66.025,180.0,bottom
C117,162.5,-66.025,180.0,bottom
C118,143.45,-66.025,180.0,bottom
C119,124.4,-66.025,180.0,bottom
C12,188.0,-24.5,0.0,top
C120,105.35,-66.025,180.0,bottom
C121,86.3,-66.025,180.0,bottom
C122,67.25,-66.025,180.0,bottom
C123,48.2,-66.025,180.0,bottom
C124,48.2,-85.075,180.0,bottom
C125,67.25,-85.075,180.0,bottom
C126,86.3,-85.075,180.0,bottom
C127,105.35,-85.075,180.0,bottom
C128,124.4,-85.075,180.0,bottom
C129,143.45,-85.075,180.0,bottom
C13,161.5,-26.5,0.0,top
C130,162.5,-85.075,180.0,bottom
C131,181.55,-85.075,180.0,bottom
C132,200.6,-85.075,180.0,bottom
C133,219.65,-85.075,180.0,bottom
C134,238.7,-85.075,180.0,bottom
C135,257.75,-85.075,180.0,bottom
C136,257.75,-104.125,180.0,bottom
C137,238.7,-104.125,180.0,bottom
C138,219.65,-104.125,180.0,bottom
C139,200.6,-104.125,180.0,bottom
C14,166.5,-26.5,0.0,top
C140,181.55,-104.125,180.0,bottom
C141,162.5,-104.125,180.0,bottom
C142,143.45,-104.125,180.0,bottom
C143,124.4,-104.125,180.0,bottom
C144,105.35,-104.125,180.0,bottom
C145,86.3,-104.125,180.0,bottom
C146,67.25,-104.125,180.0,bottom
C147,48.2,-104.125,180.0,bottom
C148,48.2,-123.175,180.0,bottom
C149,67.25,-123.175,180.0,bottom
C15,152.7,-23.0,0.0,top
C150,86.3,-123.175,180.0,bottom
C151,105.35,-123.175,180.0,bottom
C152,124.4,-123.175,180.0,bottom
C153,143.45,-123.175,180.0,bottom
C154,181.55,-123.175,180.0,bottom
C155,200.6,-123.175,180.0,bottom
C156,219.65,-123.175,180.0,bottom
C157,238.7,-123.175,180.0,bottom
C158,257.75,-123.175,180.0,bottom
C19,184.0,-31.0,0.0,top
C2,220.5,-35.5,0.0,top
C3,117.0,-36.0,0.0,top
C32,164.0,-24.5,0.0,top
C33,168.0,-33.0,0.0,top
C34,172.0,-24.5,0.0,top
C4,127.0,-36.0,0.0,top
C5,142.0,-32.0,0.0,top
C7,145.5,-24.0,0.0,top
C8,145.5,-27.0,0.0,top
C9,160.0,-24.5,0.0,top
D1,41.5,-51.0,270.0,bottom
D10,212.95,-51.0,270.0,bottom
D11,232.0,-51.0,270.0,bottom
D12,251.05,-51.0,270.0,bottom
D13,41.5,-70.05,270.0,bottom
D14,60.55,-70.05,270.0,bottom
D15,79.6,-70.05,270.0,bottom
D16,98.65,-70.05,270.0,bottom
D17,117.7,-70.05,270.0,bottom
D18,136.75,-70.05,270.0,bottom
D19,155.8,-70.05,270.0,bottom
D2,60.55,-51.0,270.0,bottom
D20,174.85,-70.05,270.0,bottom
D21,193.9,-70.05,270.0,bottom
D22,212.95,-70.05,270.0,bottom
